DataType,Size,Ratio,Algorithm,CPU_MeanTime(ns),CPU_StdDeviation(ns),CPU_AllSorted,CUDA_MeanTime(ns),CUDA_StdDeviation(ns),CUDA_AllSorted,Speedup
AlmostSorted,128,0.333333,merge_sort,41485.4,1605.54,true,3.82249e+06,47267.1,true,0.010853
AlmostSorted,128,0.333333,counting_sort,1518.06,30.8857,true,458946,40823.3,true,0.00330772
AlmostSorted,128,0.333333,radix_sort,18676.7,686.933,true,954424,42838.1,true,0.0195685
AlmostSorted,128,0.333333,heap_sort,19276.7,769.31,true,0,0,true,0
AlmostSorted,128,0.416667,bubble_sort,42815.4,950.2,true,4.3272e+08,566478,true,9.89448e-05
AlmostSorted,128,0.416667,merge_sort,41749.4,303.525,true,3.83287e+06,44513.7,true,0.0108925
AlmostSorted,128,0.416667,counting_sort,1510,44.0606,true,459934,23129.6,true,0.00328308
AlmostSorted,128,0.416667,radix_sort,19890.6,471.744,true,988242,47955,true,0.0201273
AlmostSorted,128,0.416667,heap_sort,19912.8,731.494,true,0,0,true,0
AlmostSorted,256,0,bubble_sort,1342,52.8646,true,1.73347e+09,1.54088e+06,true,7.7417e-07
AlmostSorted,256,0,merge_sort,69172.4,1110.13,true,7.32762e+06,50379.3,true,0.00943996
AlmostSorted,256,0,counting_sort,2870.06,63.7102,true,525774,27540.5,true,0.00545874
AlmostSorted,256,0,radix_sort,21940.7,184.28,true,1.06992e+06,37333.3,true,0.0205068
AlmostSorted,256,0,heap_sort,30561.1,4193.42,true,0,0,true,0
AlmostSorted,256,0.0833333,bubble_sort,40759.3,2780.75,true,1.73456e+09,2.31094e+06,true,2.34984e-05
AlmostSorted,256,0.0833333,merge_sort,77030.8,963.933,true,7.31913e+06,40255.6,true,0.0105246
AlmostSorted,256,0.0833333,counting_sort,2870,44.8286,true,524306,24017.3,true,0.0054739
AlmostSorted,256,0.0833333,radix_sort,28501,1034.01,true,1.06168e+06,27406.8,true,0.0268453
AlmostSorted,256,0.0833333,heap_sort,41005.4,2415.54,true,0,0,true,0
AlmostSorted,256,0.166667,bubble_sort,77636.6,4032.45,true,1.73398e+09,1.12144e+06,true,4.47736e-05
AlmostSorted,256,0.166667,merge_sort,80468.7,779.355,true,7.27633e+06,34745.5,true,0.011059
AlmostSorted,256,0.166667,counting_sort,2852.06,64.9887,true,513745,24913.5,true,0.00555151
AlmostSorted,256,0.166667,radix_sort,33211.1,1082.64,true,1.07871e+06,34808.5,true,0.0307877
AlmostSorted,256,0.166667,heap_sort,41605.5,938.152,true,0,0,true,0
AlmostSorted,256,0.25,bubble_sort,112236,3416.92,true,1.73277e+09,1.16319e+06,true,6.47724e-05
AlmostSorted,256,0.25,merge_sort,83522.9,923.73,true,7.27084e+06,25002.2,true,0.0114874
AlmostSorted,256,0.25,counting_sort,2856.12,47.3524,true,510041,25417.6,true,0.00559979
AlmostSorted,256,0.25,radix_sort,37727.6,1488.82,true,1.0722e+06,30256.8,true,0.035187
AlmostSorted,256,0.25,heap_sort,43035.2,992.767,true,0,0,true,0
AlmostSorted,256,0.333333,bubble_sort,141547,3370.83,true,1.73383e+09,1.62497e+06,true,8.1638e-05
AlmostSorted,256,0.333333,merge_sort,85022.9,615.07,true,7.31855e+06,38739.3,true,0.0116174
AlmostSorted,256,0.333333,counting_sort,2842.19,48.3366,true,517524,58094.8,true,0.0054919
AlmostSorted,256,0.333333,radix_sort,41227.4,818.506,true,1.06938e+06,48885.9,true,0.0385526
AlmostSorted,256,0.333333,heap_sort,44009.4,860.031,true,0,0,true,0
AlmostSorted,256,0.416667,bubble_sort,165786,4198.85,true,1.73062e+09,3.77795e+06,true,9.57954e-05
AlmostSorted,256,0.416667,merge_sort,87104.9,885.269,true,7.29106e+06,42591.6,true,0.0119468
AlmostSorted,256,0.416667,counting_sort,2864.12,48.2229,true,512627,33432,true,0.00558715
AlmostSorted,256,0.416667,radix_sort,44689.4,1491.77,true,1.07685e+06,36168.7,true,0.0415003
AlmostSorted,256,0.416667,heap_sort,43851.5,1500.57,true,0,0,true,0
